Decada,registros,con_altura,con_peso,con_altura_y_peso,porcentaje_altura_y_peso
1890,380,46,49,43,11.32
1900,8001,1060,913,772,9.65
1910,4040,721,596,558,13.81
1920,15100,2709,1877,1697,11.24
1930,9963,2385,1503,1393,13.98
1940,7383,1169,1151,1023,13.86
1950,15792,4874,4867,4662,29.52
1960,29194,27399,27269,27222,93.25
1970,22461,21284,21152,21131,94.08
1980,35201,33082,33074,32957,93.63
1990,36958,31641,31705,31454,85.11
2000,49357,49012,48972,48910,99.09
2010,35901,35535,35076,35018,97.54
